Store,Month,Day,Slot,Estimated Cleaning Time (minutes),Frequency
1756,1,Monday,4 hours,69,Monthly
1810,1,Monday,4 hours,60,Bi-monthly
1848,1,Tuesday,4 hours,253,Monthly
2128,1,Wednesday,4 hours,163,Quarterly
2169,1,Thursday,4 hours,80,Bi-monthly
1200,1,Friday,4 hours,192,Monthly
1397,1,Monday,4 hours,140,Monthly
1558,1,Tuesday,4 hours,248,Monthly
1707,1,Wednesday,4 hours,217,Monthly
1776,1,Thursday,4 hours,194,Monthly
2011,1,Friday,4 hours,159,Monthly
2080,1,Monday,4 hours,150,Monthly
1775,1,Tuesday,4 hours,155,Monthly
2081,1,Tuesday,4 hours,0,Monthly
2106,1,Wednesday,4 hours,131,Monthly
1711,1,Wednesday,4 hours,0,Bi-monthly
1811,1,Wednesday,4 hours,0,Bi-monthly
2014,1,Wednesday,4 hours,0,Quarterly
833,1,Wednesday,4 hours,103,Bi-monthly
1145,1,Thursday,4 hours,284,Monthly
1740,1,Friday,4 hours,110,Monthly
1976,1,Monday,4 hours,168,Monthly
1042,1,Tuesday,4 hours,148,Monthly
1985,1,Wednesday,4 hours,309,Monthly
1694,1,Thursday,4 hours,7,Quarterly
1338,1,Thursday,4 hours,98,Monthly
2041,1,Thursday,4 hours,38,Bi-monthly
1971,1,Friday,4 hours,257,Monthly
1354,1,Monday,4 hours,116,Monthly
1324,1,Tuesday,4 hours,135,Bi-monthly
1828,1,Wednesday,4 hours,128,Monthly
1387,1,Thursday,4 hours,130,Monthly
1670,1,Friday,4 hours,149,Monthly
1210,1,Monday,4 hours,143,Bi-monthly
1398,1,Monday,4 hours,41,Quarterly
586,1,Tuesday,4 hours,184,Bi-monthly
1111,1,Tuesday,4 hours,14,Bi-monthly
1268,1,Tuesday,4 hours,15,Bi-monthly
1358,1,Wednesday,4 hours,93,Bi-monthly
878,1,Wednesday,4 hours,31,Bi-monthly
1910,1,Thursday,4 hours,265,Monthly
2033,1,Friday,4 hours,138,Bi-monthly
1285,1,Friday,4 hours,91,Bi-monthly
1875,1,Monday,4 hours,18,Quarterly
409,1,Monday,4 hours,221,Monthly
2058,1,Tuesday,4 hours,336,Monthly
270,1,Wednesday,4 hours,21,Bi-monthly
1846,1,Wednesday,4 hours,121,Monthly
1856,1,Wednesday,4 hours,21,Bi-monthly
1124,1,Thursday,4 hours,348,Monthly
743,1,Friday,4 hours,71,Bi-monthly
1474,1,Friday,4 hours,155,Bi-monthly
1127,1,Monday,4 hours,43,Bi-monthly
1929,1,Monday,4 hours,74,Bi-monthly
1244,1,Monday,4 hours,86,Monthly
1380,1,Tuesday,4 hours,327,Monthly
1696,1,Wednesday,4 hours,24,Bi-monthly
591,1,Wednesday,4 hours,74,Bi-monthly
1790,1,Wednesday,4 hours,85,Quarterly
1917,1,Thursday,4 hours,94,Bi-monthly
1329,1,Thursday,4 hours,92,Monthly
1319,1,Friday,4 hours,63,Quarterly
710,1,Friday,4 hours,62,Quarterly
1518,1,Friday,4 hours,26,Bi-monthly
1563,1,Monday,4 hours,148,Bi-monthly
1866,1,Tuesday,4 hours,252,Monthly
1843,1,Wednesday,4 hours,59,Quarterly
1924,1,Wednesday,4 hours,28,Bi-monthly
