Region,Region Name,Store,Store Name,Store Postcode,Small Trolley,Large Trolley,Total Trolleys,Trolleys (Y/N),Handheld Basket,Rollable Basket,Total Baskets,Baskets (Y/N),Frequency of Basket Clean,Total per Annum,Latitude,Longitude
250,Belvedere,1756,LON-Bromley Town Centre,BR1 1EZ,0,0,0,No,75,19,94,Yes,Monthly,12,51.40418533333333,0.0149269
250,Belvedere,1810,LON-Staines,TW18 4BJ,0,0,0,No,0,60,60,Yes,Bi-monthly,6,51.43426875,-0.5121444
250,Belvedere,1848,LON-Camberwell,SE5 8RZ,0,0,0,No,200,120,320,Yes,Monthly,12,51.47325562727273,-0.093389214
250,Belvedere,2128,LON-Fulham,SW6 1NJ,0,0,0,No,0,163,163,Yes,Quarterly,4,51.484094533333334,-0.201921567
250,Belvedere,2169,LON-Wandsworth,SW18 4TF,0,0,0,No,0,80,80,Yes,Bi-monthly,6,51.45517441538461,-0.193578777
290,Enfield,1200,LON-Finsbury Park,N4 2DE,0,0,0,No,250,25,275,Yes,Monthly,12,51.5660307,-0.10308448
290,Enfield,1397,LON-West Ealing,W13 0SA,0,0,0,No,92,79,171,Yes,Monthly,12,51.5102057,-0.3244994
290,Enfield,1558,LON-Stratford,E15 1XE,0,0,0,No,12,240,252,Yes,Monthly,12,51.54178341304348,-0.00043683
290,Enfield,1707,LON-Walthamstow Central,E17 7JR,0,0,0,No,70,170,240,Yes,Monthly,12,51.5831307,-0.023905588
290,Enfield,1776,LON-Forest Gate,E7 8BG,0,0,0,No,9,188,197,Yes,Monthly,12,3.0463757894903445,101.77568465553864
290,Enfield,2011,LON-Hoxton Street,N1 5LG,0,0,0,No,0,159,159,Yes,Monthly,12,51.53372,-0.08048
290,Enfield,2080,LON-Upton Park,E13 9AP,0,0,0,No,0,150,150,Yes,Monthly,12,51.536144060000005,0.0346279
340,Doncaster,1775,MAN-Piccadilly,M1 4BT,0,0,0,No,91,94,185,Yes,Monthly,12,53.48042076666667,-2.2384526
340,Doncaster,2081,HUL-Connaught Road,HU7 3AP,0,0,0,No,0,0,0,No,Monthly,12,53.79616,-0.35822
340,Doncaster,2106,SHE-High Street,S1 1QH,0,0,0,No,1,130,131,Yes,Monthly,12,53.3809,-1.4703
600,Luton,1711,LON-Watford South,WD17 2HX,0,0,0,No,0,0,0,No,Bi-monthly,6,51.6489199,-0.3866
600,Luton,1811,LTN-Hatters Way Retail Park,LU4 8EZ,0,0,0,No,0,0,0,No,Bi-monthly,6,51.89010101428571,-0.455724729
